sourceType,sourceId,journalEntryId,journalDate,accountCode,debitCredit,amount,signedAmount,isReversed,description,linkedCostId,linkedPaymentId,linkedContractId,linkedSupplierId,operationalRecordExists,operationalAmount,ledgerAmount,variance,ownerDecision,mappingAction,decisionReason,approvedBy,approvedAt
COST,134ca83d-ec63-4e3d-9a7a-11a6c65bb025,8bd5d3d4-b315-455e-8c58-7b935c17e363,2025-07-10T00:00:00.000Z,331,CREDIT,52102830,-52102830,FALSE,Ghi nhận chi phí nghiệm thu Thiết bị điện theo HĐ111,134ca83d-ec63-4e3d-9a7a-11a6c65bb025,,,,TRUE,52102830,-52102830,-104205660,MANUAL_REVIEW,NO_ACTION,,,
COST,fb15b2aa-cdf0-4129-9a26-5ecfe3729a38,4ca985be-66d3-483f-ad09-a694f70c754e,2025-07-10T00:00:00.000Z,331,CREDIT,47372080,-47372080,FALSE,Ghi nhận chi phí nghiệm thu Thiết bị điện theo HĐ114,fb15b2aa-cdf0-4129-9a26-5ecfe3729a38,,,,TRUE,47372080,-47372080,-94744160,MANUAL_REVIEW,NO_ACTION,,,
PAYMENT,434ea714-96bf-43b3-aef3-d283b26f69dc,bbba69fe-8241-4bc0-8eb1-8318996b5e5d,2025-07-11T00:00:00.000Z,331,DEBIT,56419982,56419982,FALSE,Chuyển khoản thanh toán Vesbo cho HĐ111 - CK công ty S2,,434ea714-96bf-43b3-aef3-d283b26f69dc,5d80f639-7ff0-44c8-a133-35f9b835833d,partner-vesbo,TRUE,56419982,56419982,0,MANUAL_REVIEW,NO_ACTION,,,
PAYMENT,9bee8b11-dd64-47dd-b49b-283ec3ba1a85,6e6af9da-9bfa-45d9-b904-f42dad21b4d1,2025-07-11T00:00:00.000Z,331,DEBIT,49282323,49282323,FALSE,Chuyển khoản thanh toán Vesbo cho HĐ114 - CK công ty S2,,9bee8b11-dd64-47dd-b49b-283ec3ba1a85,0fee2470-000b-4fcb-adb3-7ec0df88624c,partner-vesbo,TRUE,49282323,49282323,0,MANUAL_REVIEW,NO_ACTION,,,
COST,869caa81-aac6-4602-a3e2-482eacb1af4d,10f960a5-d5e9-4ec7-b72d-0bf57675a902,2025-07-23T00:00:00.000Z,331,CREDIT,12680915,-12680915,FALSE,Ghi nhận chi phí nghiệm thu Thiết bị nước theo HĐ132,869caa81-aac6-4602-a3e2-482eacb1af4d,,,,TRUE,12680915,-12680915,-25361830,MANUAL_REVIEW,NO_ACTION,,,
PAYMENT,35e57cde-8574-4abc-8d68-d7e1826167ec,e9f8de4a-9c10-45cc-9505-2530fb64e814,2025-07-28T00:00:00.000Z,331,DEBIT,13815630,13815630,FALSE,Chuyển khoản thanh toán Vesbo cho HĐ132 - CK công ty S2,,35e57cde-8574-4abc-8d68-d7e1826167ec,a91bfd2f-832f-4a39-81a5-41b971d9f87c,partner-vesbo,TRUE,13815630,13815630,0,MANUAL_REVIEW,NO_ACTION,,,
COST,1393f539-361b-42b0-95f4-757d7f3ee64b,4e941852-fee0-4e10-a7b5-ed1adb6e4fc4,2025-08-01T00:00:00.000Z,331,DEBIT,141557950,141557950,FALSE,Ghi nhận chi phí nghiệm thu Phát sinh thêm tbvs (Giảm) theo HĐ142 (Điều chỉnh giảm),1393f539-361b-42b0-95f4-757d7f3ee64b,,,,TRUE,141557950,141557950,0,MANUAL_REVIEW,NO_ACTION,,,
COST,8f2ab96c-86a2-4255-a105-7be1d31ac83f,0cf78242-1e83-4f31-9ff1-ff16800da301,2025-08-01T00:00:00.000Z,331,CREDIT,142691950,-142691950,FALSE,Ghi nhận chi phí nghiệm thu Phát sinh thêm tbvs (Tăng lại) theo HĐ142,8f2ab96c-86a2-4255-a105-7be1d31ac83f,,,,TRUE,142691950,-142691950,-285383900,MANUAL_REVIEW,NO_ACTION,,,
COST,05fad512-9b0b-4cc2-bf9c-296f64635b26,073789f6-f7bd-434c-8823-e56f1495b0eb,2025-08-01T00:00:00.000Z,331,CREDIT,1637280,-1637280,FALSE,Ghi nhận chi phí nghiệm thu Vật tư phụ theo HĐ142,05fad512-9b0b-4cc2-bf9c-296f64635b26,,,,TRUE,1637280,-1637280,-3274560,MANUAL_REVIEW,NO_ACTION,,,
COST,86e5038c-9179-4bc2-9387-ae230851aaf6,ee156b29-366a-471e-947c-1835d4895e2e,2025-08-01T00:00:00.000Z,331,CREDIT,141557950,-141557950,FALSE,Ghi nhận chi phí nghiệm thu Thiết bị vệ sinh theo HĐ142,86e5038c-9179-4bc2-9387-ae230851aaf6,,,,TRUE,141557950,-141557950,-283115900,MANUAL_REVIEW,NO_ACTION,,,
